,subregion_id,subregion
0,22,Western Asia
1,9,Micronesia
2,17,Southeast Europe
3,20,Southern Europe
4,1,Caribbean
5,11,North America
6,-1,
7,15,South America
8,12,Northern Africa
9,21,Western Africa
11,5,Eastern Africa
12,19,Southern Asia
13,14,Polynesia
18,2,Central America
22,13,Northern Europe
23,8,Melanesia
29,18,Southern Africa
30,4,Central Europe
31,23,Western Europe
37,10,Middle Africa
49,6,Eastern Asia
50,16,South-Eastern Asia
54,3,Central Asia
71,7,Eastern Europe
84,0,Australia and New Zealand
